codigo_postal,balanced_kmeans,latitud,longitud,zone,subzone
08000,green,19.3952789306641,-99.0977783203125,Iztapalapa 1,1.0
08010,green,19.3940582275391,-99.0883560180664,Iztapalapa 1,1.0
08020,green,19.3866939544678,-99.0988693237305,Iztapalapa 1,3.0
08030,green,19.3903770446777,-99.0901107788086,Iztapalapa 1,1.0
08040,green,19.3832206726074,-99.0976028442383,Iztapalapa 1,3.0
08100,green,19.4045639038086,-99.0644683837891,Iztapalapa 1,1.0
08200,green,19.3992729187012,-99.1272964477539,Iztapalapa 1,3.0
08210,green,19.3984355926514,-99.126106262207,Iztapalapa 1,3.0
08220,green,19.3933353424072,-99.1308212280273,Iztapalapa 1,3.0
08230,green,19.3963050842285,-99.124382019043,Iztapalapa 1,3.0
08240,green,19.3928165435791,-99.1250915527344,Iztapalapa 1,3.0
08300,green,19.3994121551514,-99.1210021972656,Iztapalapa 1,3.0
08310,green,19.4046649932861,-99.1144714355469,Iztapalapa 1,3.0
08320,green,19.3992519378662,-99.114860534668,Iztapalapa 1,3.0
08400,green,19.4035873413086,-99.1030883789063,Iztapalapa 1,1.0
08420,green,19.4055652618408,-99.0801086425781,Iztapalapa 1,1.0
08500,green,19.4025077819824,-99.068733215332,Iztapalapa 1,1.0
08510,green,19.3925247192383,-99.0862121582031,Iztapalapa 1,1.0
08600,green,19.3898735046387,-99.1200256347656,Iztapalapa 1,3.0
08610,green,19.394323348999,-99.1194686889648,Iztapalapa 1,3.0
08620,green,19.3974990844727,-99.1173400878906,Iztapalapa 1,3.0
08650,green,19.3914680480957,-99.1160507202148,Iztapalapa 1,3.0
08700,green,19.3927364349365,-99.1130447387695,Iztapalapa 1,3.0
08710,green,19.3971672058105,-99.1118011474609,Iztapalapa 1,3.0
08720,green,19.3973979949951,-99.1098556518555,Iztapalapa 1,3.0
08730,green,19.395227432251,-99.1000366210938,Iztapalapa 1,1.0
08760,green,19.3884029388428,-99.1061172485352,Iztapalapa 1,3.0
08770,green,19.3897647857666,-99.1151351928711,Iztapalapa 1,3.0
08800,green,19.3886451721191,-99.1255874633789,Iztapalapa 1,3.0
