ID_Credito,ID_Credito_original,ID_Tienda
7e18a3,00e9f5fb-d0c6-4f21-8f32-1f94a57e18a3,
f90920,0217aaae-6061-4762-8e58-ae121ff90920,
bf9109,024a9241-23ca-4153-bf38-240201bf9109,
8d19f7,059af44e-6a1d-4956-b08b-1757218d19f7,
5c889a,0633ae50-6afe-4a02-b281-7e10095c889a,
1e5710,06a11008-0b0e-4b91-9a61-b9e7f81e5710,
e2e886,06dd2788-58b8-4f7a-8f8c-f6d6fbe2e886,
deb9d4,0781cd3b-9796-4721-9825-643c87deb9d4,
206470,0b00f3cb-09f3-4358-b83e-2db2e9206470,
eaf39c,0b247cd9-3b9d-4dc4-8ce4-6fb9d5eaf39c,
c66b90,0b9e1454-53f4-4240-8b9b-8bcad5c66b90,
559ed0,0d8abf83-2fb4-47fe-89f3-4b61f7559ed0,
b925ea,0fd0b008-f7c1-4560-afd3-b5ed69b925ea,
f5a391,1076ba0b-5f89-404d-8016-c9ad55f5a391,
5be956,11866410-e0cd-4930-8a3c-7c25dd5be956,
643b63,11b4c325-8cd7-4810-a11e-1f1818643b63,
683232,125bd8b8-dc90-4af2-94bd-e92ed9683232,
0fe674,12c03d6b-2fd9-442b-b790-3205290fe674,
e69bc9,148ec589-2a84-4cfd-8e93-42d1ede69bc9,
fd50cc,14dad030-fd28-4960-8635-5a85bafd50cc,
a88178,152ad5a9-c1df-4a80-8092-8ee4c4a88178,
49e06d,1546ecc5-3c81-440e-953e-eacb1149e06d,
97971a,15c420e2-ad3c-41d3-b3ab-dbfab297971a,
6fe4c8,16467f23-db44-4e42-8a8e-9432446fe4c8,
6bd105,16683105-b4dd-4e1c-9dd2-8eaedd6bd105,
9faf11,16a3b32b-9774-4da8-aea8-442f3a9faf11,
e20ffa,16bd2df1-7350-4885-80d4-070e54e20ffa,
ed1278,1814e2de-7cd9-4d79-b839-19c954ed1278,
9fb372,186a3d29-2b52-428c-b8c3-6df0529fb372,
e18afa,18b8f1bf-06bb-4cad-84ef-c43d2ce18afa,
3d3827,19026dcb-327d-45ba-b3f7-6ae1953d3827,
d87cf5,19ddce5a-148f-4a3b-8c7a-f65cd5d87cf5,
ed7fe3,1adf5a84-4eae-43e9-b740-fb73a4ed7fe3,
c65659,1aea306b-13c7-47c3-8003-52ef33c65659,
3b4e07,1b432a23-816f-48df-89cc-7fab443b4e07,
7553af,1b9ffee9-6974-41e7-bd90-de85907553af,
4d29f0,1dd0a544-0d04-4f9f-b638-6a39184d29f0,
18992d,1dd649b7-27be-4697-9f6c-f20e3a18992d,
5ba78d,1e27150d-e903-42ba-a78a-b2ed035ba78d,
bad000,1ec6a484-7a6a-4d69-a22d-117cf8bad000,
abc168,2144dd1d-ef1b-454a-906d-5033b9abc168,
d31bf3,214996f5-724f-435b-965a-a46c73d31bf3,
191ebf,22fb34f7-4069-462a-895e-490721191ebf,
a08ff4,23dc91dd-448d-43ac-aa59-7bc5ffa08ff4,
2b7f1d,23dd3b6e-8bc1-4a48-b7c7-79b4372b7f1d,
32775b,24abe779-64f9-4d84-bbc3-35d85632775b,
dba8c6,258bd39e-f64b-4564-8a2c-b4e24edba8c6,
4ac600,2752e38c-4e91-40a7-9edd-3062a04ac600,
ba03de,283986a8-73e2-4cd2-b9d7-f227edba03de,
0e528a,288af190-2424-4ed5-9a88-7f56880e528a,
45474f,28dcf8de-5cc5-4fa4-aaaa-5dee6645474f,
697b3c,294189f8-55d8-43e0-86d0-3fe9b5697b3c,
e92ace,2a067ed7-b128-4229-b764-8eea13e92ace,
12b2c4,2ac7576b-72f2-4d31-9b40-4118ff12b2c4,
c3b19f,2af10bec-7f19-4d35-a70a-dd1f21c3b19f,
3394f9,2ba2c376-7dbf-4cab-8dee-2095353394f9,
0ddaad,2bdcec6d-21ee-4101-90a7-4d79350ddaad,
9aa3dd,2c87f1c8-224c-4ab7-8e61-d52e769aa3dd,
6dfc9f,2e38379c-688f-49e2-9b71-9ed2736dfc9f,
8a40d8,2e3bfd2c-c685-464c-9895-8f176f8a40d8,
ec7ecc,2fd2c60b-2be0-4719-9be9-934a49ec7ecc,
a4bdf7,308db14d-3320-4ee5-8d2c-31ec76a4bdf7,
2cd093,31186e76-90de-44b7-b296-e114c22cd093,
d64fcd,317004b7-91eb-4775-8785-8e8e19d64fcd,
ebfbb5,31809c39-6ff9-4898-95cf-cdd581ebfbb5,
076aed,342e838a-530d-4a82-ac97-17acc5076aed,
6046b9,35a71844-c48b-405d-a976-f21ade6046b9,
c396f4,3647dde2-ce9c-45bf-97b4-09c0a7c396f4,
f7d994,366c9f54-3ba9-4a7e-b6a2-aacc03f7d994,
88c013,374e86a4-8b46-4a5e-bf44-941a4488c013,
97a779,37b78a44-f41d-4d95-89d0-fcc3dd97a779,
68f2f6,3b2d68c8-0c83-42b7-a903-e2824968f2f6,
09fe51,3b7ffc40-5308-453d-9c88-06643b09fe51,
54fcbd,3c395d73-a444-4642-a2c6-dc9bd154fcbd,
5c5d7a,3da34385-e595-470e-9976-d21b125c5d7a,
1bb466,3e193151-45f7-4340-a572-419d9e1bb466,
ad4203,3e339ebb-2c5e-4c2c-a42f-ffbeacad4203,
1e304c,41a48b7e-2dfb-44a6-bcae-986ad81e304c,
b136d3,45a6b807-49d6-40ea-b4ba-dc2a1fb136d3,
18a0a4,45d1b36c-4d15-49c8-959c-07053618a0a4,
57cc39,4891faa4-9403-4384-957a-9c618257cc39,
3aac32,49d50aa9-a91e-4408-b8e1-66d5c63aac32,
5a4fa2,49f30fe1-b7bd-4fe3-9a11-5bf9eb5a4fa2,
58984d,4a069fe8-90ac-4e16-8550-5d17af58984d,
e4c9e2,4b243a7f-2b15-46ca-af39-4b089ce4c9e2,
623c7b,4b5281a8-1be1-46a1-8a59-29745e623c7b,
0e30f7,4bcd676c-afa1-4562-a202-9256bd0e30f7,
79155c,4bfc8ac1-273d-47cf-ba8c-e2026879155c,
a60cf0,4d632fad-014d-4672-bfe8-57bb7da60cf0,
8a15f8,4db3d129-f347-4860-9a06-2c712b8a15f8,
