zone,zip_code,state,delegation,Cuentas,balance
Central de Abastos,01220,Ciudad de México,Álvaro Obregón,1,0.0
Central de Abastos,01230,Ciudad de México,Álvaro Obregón,2,0.0
Central de Abastos,01260,Ciudad de México,Álvaro Obregón,1,0.0
Central de Abastos,01530,Ciudad de México,Álvaro Obregón,1,0.0
Central de Abastos,01730,Ciudad de México,Álvaro Obregón,1,0.0
Central de Abastos,03020,Ciudad de México,Benito Juárez,1,0.0
Central de Abastos,03510,Ciudad de México,Benito Juárez,1,0.0
Central de Abastos,04300,Ciudad de México,Coyoacán,1,0.0
Central de Abastos,04369,Ciudad de México,Coyoacán,1,0.0
Central de Abastos,07350,Ciudad de México,Gustavo A. Madero,1,0.0
Central de Abastos,07969,Ciudad de México,Gustavo A. Madero,1,0.0
Central de Abastos,08100,Ciudad de México,Iztacalco,1,0.0
Central de Abastos,08500,Ciudad de México,Iztacalco,3,0.0
Central de Abastos,08600,Ciudad de México,Iztacalco,1,0.0
Central de Abastos,08730,Ciudad de México,Iztacalco,1,0.0
Central de Abastos,09000,Ciudad de México,Iztapalapa,5,0.0
Central de Abastos,09040,Ciudad de México,Iztapalapa,6,1837.53
Central de Abastos,09090,Ciudad de México,Iztapalapa,2,0.0
Central de Abastos,09180,Ciudad de México,Iztapalapa,1,0.0
Central de Abastos,09200,Ciudad de México,Iztapalapa,1,0.0
Central de Abastos,09240,Ciudad de México,Iztapalapa,1,0.0
Central de Abastos,09280,Ciudad de México,Iztapalapa,1,0.0
Central de Abastos,09290,Ciudad de México,Iztapalapa,1,0.0
Central de Abastos,09310,Ciudad de México,Iztapalapa,2,0.0
Central de Abastos,09400,Ciudad de México,Iztapalapa,1,0.0
Central de Abastos,09410,Ciudad de México,Iztapalapa,1,0.0
Central de Abastos,09609,Ciudad de México,Iztapalapa,2,0.0
Central de Abastos,09630,Ciudad de México,Iztapalapa,2,0.0
Central de Abastos,09700,Ciudad de México,Iztapalapa,4,0.0
Central de Abastos,09780,Ciudad de México,Iztapalapa,1,0.0
Central de Abastos,09829,Ciudad de México,Iztapalapa,1,0.0
Central de Abastos,09830,Ciudad de México,Iztapalapa,1,0.0
Central de Abastos,09880,Ciudad de México,Iztapalapa,1,0.0
Central de Abastos,09900,Ciudad de México,Iztapalapa,1,0.0
Central de Abastos,09920,Ciudad de México,Iztapalapa,1,0.0
Central de Abastos,13270,Ciudad de México,Tláhuac,1,0.0
Central de Abastos,14040,Ciudad de México,Tlalpan,1,221.53
Central de Abastos,14100,Ciudad de México,Tlalpan,2,0.0
Central de Abastos,14400,Ciudad de México,Tlalpan,1,0.0
Central de Abastos,14440,Ciudad de México,Tlalpan,1,0.0
Central de Abastos,15820,Ciudad de México,Venustiano Carranza,1,0.0
Central de Abastos,16035,Ciudad de México,Xochimilco,1,0.0
Central de Abastos,52778,México,Huixquilucan,1,0.0
