zone,zip_code,latitude,longitude,balanced_kmeans,subzone,Cuentas
Cuautitlan,42995,19.8964217,-99.2272934,red,2.0,2
Cuautitlan,52920,19.5854913,-99.2325399,blue,2.0,1
Cuautitlan,54020,19.551647916666667,-99.21695848333334,blue,2.0,1
Cuautitlan,54440,19.6446487,-99.3001954,gold,2.0,1
Cuautitlan,54474,19.6037682,-99.2951482,gold,2.0,1
Cuautitlan,54600,19.70931763333333,-99.22171323333332,gold,2.0,2
Cuautitlan,54605,19.710480766666667,-99.2123167,gold,2.0,3
Cuautitlan,54614,19.7261024,-99.2122138,gold,1.0,1
Cuautitlan,54658,19.7117259,-99.3322997,gold,2.0,1
Cuautitlan,54660,19.77528509090909,-99.2068720818182,gold,1.0,1
Cuautitlan,54680,19.8434199,-99.1909103,red,2.0,5
Cuautitlan,54683,19.8345178,-99.2086203,red,2.0,1
Cuautitlan,54685,19.8190761,-99.1806512,red,2.0,2
Cuautitlan,54696,19.8776571,-99.2192607,red,2.0,1
Cuautitlan,54710,19.678307963636364,-99.24073488181818,gold,2.0,2
Cuautitlan,54713,19.713354725,-99.18965105,gold,1.0,1
Cuautitlan,54714,19.689626,-99.1800842,gold,1.0,2
Cuautitlan,54720,19.6658273,-99.23071543333334,gold,2.0,2
Cuautitlan,54725,19.6728832,-99.230068,gold,2.0,1
Cuautitlan,54729,19.67872617525552,-99.20826276965855,gold,2.0,1
Cuautitlan,54740,19.60671125714285,-99.20682532857144,blue,2.0,3
Cuautitlan,54743,19.6254002,-99.1983661,blue,2.0,1
Cuautitlan,54745,19.6511919,-99.2820456,gold,2.0,1
Cuautitlan,54760,19.634811325,-99.2252426,gold,2.0,2
Cuautitlan,54764,19.5925946,-99.1916659,blue,2.0,1
Cuautitlan,54770,19.734943,-99.1841415,gold,1.0,1
Cuautitlan,54783,19.75167145,-99.1620695,gold,1.0,2
Cuautitlan,54786,19.7657484,-99.2144048,gold,1.0,1
Cuautitlan,54800,19.7032593,-99.2046334,gold,2.0,1
Cuautitlan,54803,19.68149775,-99.1595107,gold,1.0,1
Cuautitlan,54807,19.6664027,-99.1759016,gold,2.0,1
Cuautitlan,54830,19.7082253,-99.1623203,gold,1.0,1
Cuautitlan,54840,19.7002078,-99.1754739,gold,1.0,10
Cuautitlan,54850,19.6764613,-99.1794078,gold,2.0,6
Cuautitlan,54857,19.6908406,-99.1606252,gold,1.0,1
Cuautitlan,54870,19.6683528,-99.1823062,gold,2.0,6
Cuautitlan,54880,19.6972707,-99.1514168,gold,1.0,2
Cuautitlan,54882,19.7067758,-99.1572057,gold,1.0,1
Cuautitlan,54890,19.7165663,-99.13404627821782,gold,1.0,3
Cuautitlan,54894,19.7181642,-99.1352559,gold,1.0,1
Cuautitlan,54900,19.64551025,-99.1512184,blue,3.0,5
Cuautitlan,54910,19.63300628,-99.13862856,blue,3.0,2
Cuautitlan,54915,19.6312808,-99.1707252,blue,2.0,1
Cuautitlan,54924,19.6690547,-99.0760928,green,3.0,1
Cuautitlan,54927,19.6750797,-99.0768414,green,3.0,1
Cuautitlan,54930,19.665979425,-99.0792016,green,2.0,8
Cuautitlan,54932,19.6591708,-99.0726373,green,2.0,1
Cuautitlan,54933,19.66541455,-99.0792008,green,2.0,1
Cuautitlan,54935,19.67129305,-99.08348951760594,green,3.0,3
Cuautitlan,54938,19.6703442,-99.0884572,green,3.0,3
Cuautitlan,54943,19.6087435,-99.1818462,blue,2.0,1
Cuautitlan,54944,19.6084248,-99.16746928631534,blue,2.0,2
Cuautitlan,54946,19.6072872,-99.1885982,blue,2.0,2
Cuautitlan,54948,19.62389,-99.137679,blue,3.0,1
Cuautitlan,54949,19.6291009,-99.13352525,blue,3.0,2
Cuautitlan,54957,19.5946223,-99.1622111,blue,2.0,2
Cuautitlan,54958,19.5987868,-99.1778773,blue,2.0,4
Cuautitlan,54959,19.6015673,-99.1861733,blue,2.0,1
Cuautitlan,54960,19.67784695,-99.13585663333332,blue,1.0,10
Cuautitlan,54964,19.6932543,-99.1374068,gold,1.0,1
Cuautitlan,54965,19.6584609,-99.1370561,blue,1.0,3
Cuautitlan,54970,19.6812036,-99.1300912,blue,1.0,2
Cuautitlan,54980,19.6602591,-99.1361943,blue,1.0,1
Cuautitlan,54984,19.6632508,-99.1346447,blue,1.0,2
Cuautitlan,54985,19.6573205,-99.1194397,blue,1.0,2
Cuautitlan,55000,19.599339142857144,-99.04716028571428,green,1.0,3
Cuautitlan,55010,19.6233514,-99.0626935,green,2.0,2
Cuautitlan,55018,19.6150357,-99.0760371,green,2.0,1
Cuautitlan,55020,19.6072375,-99.0589352,green,1.0,1
Cuautitlan,55024,19.6140866,-99.0557234,green,1.0,1
Cuautitlan,55029,19.5278909,-99.0444745,green,1.0,4
Cuautitlan,55070,19.5841926,-99.0199307,green,1.0,3
Cuautitlan,55120,19.53933608333333,-99.02977561666668,green,1.0,1
Cuautitlan,55600,19.79362150588236,-99.09600528823528,red,2.0,9
Cuautitlan,55604,19.7892393,-99.0607551,red,1.0,2
Cuautitlan,55607,19.7966229,-99.0652497,red,1.0,3
Cuautitlan,55609,19.7827223,-99.1309689,red,2.0,1
Cuautitlan,55614,19.8350235,-99.0917151149581,red,2.0,7
Cuautitlan,55628,19.7917729,-99.1755994,red,2.0,1
Cuautitlan,55630,19.8012097,-99.064972,red,1.0,3
Cuautitlan,55634,19.74917,-98.9792721,red,1.0,2
Cuautitlan,55635,19.813185,-99.0372667,red,1.0,14
Cuautitlan,55700,19.655673675,-99.1196284,blue,3.0,3
Cuautitlan,55707,19.6279133,-99.1212536,blue,3.0,1
Cuautitlan,55710,19.6606218,-99.0905758,green,2.0,3
Cuautitlan,55712,19.6418374,-99.1144494,blue,3.0,4
Cuautitlan,55714,19.6384213,-99.0806536,green,2.0,1
Cuautitlan,55717,19.633964925,-99.121376675,blue,3.0,2
Cuautitlan,55718,19.6179541,-99.0877015,green,2.0,2
Cuautitlan,55730,19.6297669,-99.0959308,green,2.0,1
Cuautitlan,55744,19.7534802,-98.986048,red,1.0,1
Cuautitlan,55748,19.6849874,-98.9766543,green,3.0,1
Cuautitlan,55763,19.6259342,-99.0242734,green,1.0,1
Cuautitlan,55764,19.62438326,-99.02062724,green,1.0,3
Cuautitlan,55767,19.652363,-99.0296455,green,2.0,1
